crop_name,url,kannada_name
almond,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/almond.png,ಬಾದಾಮಿ
amla,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/amla.png,ನೆಲ್ಲಿಕಾಯಿ
apricot,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/apricot.png,ಏಪ್ರಿಕಾಟ್
arecanut,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/arecanut.png,ಅಡಿಕೆ
banana,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/banana.png,ಬಾಳೆ
ber,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/ber.png,ಬಾರೆ ಹಣ್ಣು
cashew,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/cashew.png,ಗೋಡಂಬಿ
coconut,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/coconut.png,ತೆಂಗು
cotton,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/cotton.png,ಹತ್ತಿ
custard-apple,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/custard-apple.png,ಸೀತಾಫಲ
date-palm,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/date-palm.png,ಖರ್ಜೂರ
fig,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/fig.png,ಅಂಜೂರ
grapes,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/grapes.png,ದ್ರಾಕ್ಷಿ
guava,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/guava.png,ಸೀಬೆಹಣ್ಣು
indian-raspberry,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/indian-raspberry.png,ರಾಸ್ಬೆರಿ
jackfruit,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/jackfruit.png,ಹಲಸಿನ ಹಣ್ಣು
lemon,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/lemon.png,ನಿಂಬೆ
mango,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/mango.png,ಮಾವಿನ ಹಣ್ಣು
mulberry,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/mulberry.png,ಹಿಪ್ಪುನೇರಳೆ
muskmelon,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/muskmelon.png,ಕರಬೂಜ
orange,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/orange.png,ಕಿತ್ತಳೆ
paddy,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/paddy.png,ಭತ್ತ
peach,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/peach.png,ಪೀಚ್ ಹಣ್ಣು
pear,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/pear.png,ಪಿಯರ್ ಹಣ್ಣು
pineapple,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/pineapple.png,ಅನಾನಸ್
plum,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/plum.png,ಪ್ಲಮ್ ಹಣ್ಣು
pomegranate,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/pomegranate.png,ದಾಳಿಂಬೆ
sapota,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/sapota.png,ಸಪೋಟ
strawberry,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/strawberry.png,ಸ್ಟ್ರಾಬೆರಿ
tomato,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/tomato.png,ಟೊಮೆಟೊ
walnut,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/walnut.png,ಆಕ್ರೋಡು (ವಾಲ್ನಟ್)
watermelon,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/fruit/watermelon.png,ಕಲ್ಲಂಗಡಿ
