crop_name,url,kannada_name
agathi,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/agathi.jpg,ಅಗಸೆ
air-potato,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/air-potato.jpg,ಏರ್ ಪೊಟಾಟೋ
amaranth,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/amaranth.jpg,ದಂಟಿನ ಸೊಪ್ಪು
amtekayi,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/amtekayi.jpg,ಅಂಬಟೆಕಾಯಿ
arrowroot,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/arrowroot.jpg,ಕೂವೆ ಗೆಡ್ಡೆ
ash-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/ash-gourd.jpg,ಬೂದು ಕುಂಬಳಕಾಯಿ
attikka,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/attikka.jpg,ಅತ್ತಿಕಾಯಿ
baby-corn,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/baby-corn.jpg,ಬೇಬಿ ಕಾರ್ನ್
bamboo-shoots,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/bamboo-shoots.jpg,ಬಿದಿರು ಕಳಲೆ
banana-flower,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/banana-flower.jpg,ಬಾಳೆ ಹೂವು
banana,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/banana.jpg,ಬಾಳೆಕಾಯಿ
beans,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/beans.jpg,ಬೀನ್ಸ್
beetroot,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/beetroot.jpg,ಬೀಟ್ರೂಟ್
betel-vine,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/betel-vine.jpg,ವೀಳ್ಯದೆಲೆ
bimbli,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/bimbli.jpg,ಬಿಂಬ್ಲಿ
bitter-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/bitter-gourd.jpg,ಹಾಗಲಕಾಯಿ
bottle-gourd,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/bottle-gourd.jpg,ಸೋರೆಕಾಯಿ
breadfruit,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/breadfruit.jpg,ಜೀಗುಜ್ಜೆ
brinjal,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/brinjal.jpg,ಬದನೆಕಾಯಿ
broad-beans,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/broad-beans.jpg,ಚಪ್ಪರದ ಅವರೆ
cabbage,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/cabbage.jpg,ಎಲೆಕೋಸು
capsicum,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/capsicum.jpg,ದಪ್ಪ ಮೆಣಸಿನಕಾಯಿ
carrot,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/carrot.jpg,ಕ್ಯಾರೆಟ್
cauliflower,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/cauliflower.jpg,ಹೂಕೋಸು
chayote,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/vegetables/chayote.jpg,ಸೀಮೆಬದನೆ
