Plant Common Name ,Disease Name (Type),Treatment Methods (Human-Friendly Guide)
Tomato,Damping Off (Fungal),"This kills young seedlings in the nursery. Treat seeds with Trichoderma viride (4g/kg) before sowing. Avoid over-watering the nursery bed; the soil should not be soggy. If you see rotting, drench the soil with Copper Oxychloride (3g/liter). Use raised beds to help excess water drain away."
Tomato,Early Blight (Fungal),Look for brown spots with rings on older leaves. Spray Mancozeb (2g/liter) or Chlorothalonil (2g/liter) early in the morning. Remove and burn infected lower leaves to stop the upward spread. Rotate crops—do not plant tomatoes where you just grew potatoes or brinjals.
Tomato,Late Blight (Fungal),"A fast-spreading rot during cloudy, wet weather. Spray Metalaxyl + Mancozeb (2g/liter) or Cymoxanil (2g/liter) immediately at the first sign. Keep the field clean and avoid overhead sprinklers that wet the leaves. If it rains heavily, re-spray after the rain stops."
Tomato,Fusarium Wilt (Fungal),"The plant yellows and dries up from one side. The fungus lives in the soil, so chemical sprays don't work well. Drench the soil around roots with Copper Oxychloride (3g/liter). The best fix is prevention: mix Trichoderma bio-fungicide with manure before planting and use resistant seeds."
Tomato,Septoria Leaf Spot (Fungal),Small round spots with grey centers on lower leaves. Remove infected leaves by hand to lower the fungal load. Spray Copper Oxychloride (3g/liter) or Mancozeb (2.5g/liter). Ensure good spacing between plants so air can flow through; crowded plants trap humidity and make this worse.
Tomato,Anthracnose (Fungal),"This causes sunken, water-soaked spots on ripe fruit. It often happens when fruits touch the soil. Harvest fruit as soon as it ripens; do not leave it on the plant too long. Mulching (covering soil with straw/plastic) helps prevent soil spores from splashing onto the fruit. Spray Chlorothalonil (2g/liter) if severe."
Tomato,Powdery Mildew (Fungal),"You will see a white, powdery coating on leaves, looking like flour. It happens in dry, warm weather. Spray wettable Sulfur (3g/liter) or Karathane (1ml/liter). A home remedy is spraying a mixture of milk and water (1:9 ratio) or baking soda solution, which changes the leaf surface pH."
Tomato,Buckeye Rot (Fungal),"Brown and grey rings appear on fruit touching the wet ground. It looks like a ""buck's eye."" Stake your plants to keep fruits off the soil. Mulching is the best prevention. Avoid flood irrigation that keeps the soil surface wet for too long. If needed, spray Copper Oxychloride."
Tomato,Bacterial Wilt (Bacterial),The plant droops and dies suddenly while still green. There is no chemical cure. Use wilt-resistant varieties (like Arka Abha). Dip seedling roots in Pseudomonas fluorescens before planting. Rotate crops with paddy (rice) or marigold to naturally clean the soil of bacteria.
Tomato,Bacterial Spot (Bacterial),"Small, dark, greasy spots appear on leaves and fruits. It spreads by splashing rain. Avoid overhead watering. Spray Streptocycline (1g in 10 liters water) mixed with Copper Oxychloride (30g in 10 liters). Do not work in the field when plants are wet, as you will carry the bacteria to healthy plants."
Tomato,Bacterial Canker (Bacterial),"Leaves turn brown at the edges (""firing"") and stems may split open. Fruit may have small ""bird-eye"" spots. Use disease-free seeds from trusted sources. Sterilize your pruning tools (knives/scissors) with bleach solution between plants. Remove and destroy infected plants immediately to save the rest."
Tomato,Tomato Leaf Curl (Viral),Leaves curl upward and plants remain small. Spread by whiteflies. There is no cure for the virus. Pull out and bury infected plants instantly. Control whiteflies using yellow sticky traps (15/acre) and spray Imidacloprid (0.5ml/liter) or Neem oil to stop the spread.
Tomato,Spotted Wilt (TSWV) (Viral),Causes bronzing of young leaves and ring-spots on fruit. Spread by tiny insects called Thrips. Control Thrips using blue sticky traps and by spraying Fipronil or Spinosad. Keep the field borders free of weeds where thrips hide. Remove infected plants immediately.
Tomato,Mosaic Virus (ToMV) (Viral),Leaves show a light and dark green mosaic pattern. This is highly contagious and spreads by touch (smokers can spread it from tobacco!). Wash hands with soap before handling plants. Do not smoke near the field. Remove infected plants and do not compost them.
Tomato,Blossom End Rot (Physiological),The bottom of the fruit turns black and flat. This is not a disease but a Calcium deficiency caused by uneven watering. Water regularly so the soil stays moist (not soaked). Spray Calcium Chloride (2g/liter) on the fruits when they are small (marble size).
Tomato,Fruit Cracking (Physiological),cracks appear on the fruit skin. This happens when heavy rain follows a dry spell; the fruit drinks water too fast and bursts. maintain consistent soil moisture by watering regularly. Harvest fruits before heavy rains if they are close to ripening.
Tomato,Sunscald (Physiological),"White/yellow patches on the fruit where the sun hit it too hard. This happens when leaves fall off due to other diseases. Keep the plant healthy so leaves cover the fruit. In severe summers, you can use shade nets or cover fruit clusters with straw."
Tomato,Catfacing (Physiological),"Fruit becomes deformed and scarred. Caused by cold weather during flowering or high nitrogen fertilizer. Avoid planting too early in winter. Use balanced fertilizers; do not overuse Urea (Nitrogen) which causes rapid, weak growth."
Tomato,Root Knot Nematode* (Parasitic),"Plants look weak and stunted; roots have swollen ""knots"" or galls. Plant African Marigold flowers between tomato rows (their roots release chemicals that repel nematodes). Apply Neem Cake (250kg/acre) to the soil. Use Paecilomyces lilacinus (bio-agent) in the soil."
Tomato,Gray Mold (Botrytis)* (Fungal),"A grey, fuzzy mold grows on dying flowers or fruit stem ends. It loves high humidity. The best treatment is airflow—prune extra leaves and keep spacing wide. Remove dead flowers that stick to the fruit. Spray Chlorothalonil only if necessary."
Tomato,Southern Blight* (Fungal),"A white mold grows on the stem near the soil, looking like mustard seeds. The plant wilts quickly. Deep plow the field in summer to bury the fungus. Solarise soil (cover with plastic in summer). Drench the base of plants with Trichoderma."
Tomato,Leaf Mold* (Fungal),"Pale yellow spots on top of leaves, with olive-green mold underneath. Common in humid greenhouses. Improve ventilation immediately to lower humidity. Use drip irrigation instead of overhead sprays. Spray Copper-based fungicides if the infection spreads."
Cashew,Tea Mosquito Bug,"Spray Lambda-cyhalothrin or Monocrotophos early in the morning or late evening when the insects are active. Ensure proper spray coverage on new shoots, leaves, and nuts. If the attack continues, repeat the spray after 15–20 days. Do not spray during hot noon hours. Regular spraying at the correct time helps reduce heavy crop loss caused by this pest."
Cashew,Cashew Stem & Root Borer,"Inspect trees every month. If gum or sawdust is seen on the trunk, remove the bark near the spot and pull out the white worm inside. Kill the worm immediately. Clean the hole and fill it with Chlorpyriphos solution or Carbaryl paste. This treatment must be done carefully to save the tree from dying."
Cashew,Anthracnose (Blossom Blight),"Spray Bordeaux mixture (1%) or Copper Oxychloride when new reddish leaves start appearing. If rain occurs during flowering, spray again to protect flowers and young nuts. This treatment prevents flowers from drying and falling. Timely spraying during cloudy and rainy weather is very important to avoid heavy yield loss."
Cashew,Pink Disease,"Cut infected branches at least 30 cm below the affected area and burn them immediately. Apply Bordeaux paste on the cut ends to stop further infection. After pruning, spray Copper Oxychloride on nearby branches. This treatment should be completed before the monsoon season to prevent the disease from spreading to healthy branches."
Cashew,Die-back,Cut dried branch tips well below the dead portion until healthy green wood is seen. Apply Bordeaux paste on all cut surfaces to protect them. Proper pruning and sealing of cuts help stop the disease from moving downward. Timely cutting saves the tree and prevents further drying of branches.
Cashew,Gummosis,"Gently scrape out the gum from the affected bark area. After cleaning, apply Bordeaux paste or Copper Oxychloride on the wound. Ensure the treatment covers the entire affected portion. This helps stop further gum flow and prevents infection from spreading inside the trunk."
Cashew,Leaf Miner,"In young plants or nursery seedlings with heavy damage, spray Neem oil or Quinalphos once. Ensure spraying is done properly on fresh leaves. Usually one spray is enough. Avoid repeated chemical sprays, as this pest often reduces naturally once the plant grows stronger."
Cashew,Sooty Mould,"First spray Neem oil to control insects causing sticky deposits. Then spray starch solution (maida kanji) on leaves. The black layer will dry, crack, and fall off naturally. One or two sprays are sufficient. This treatment helps leaves regain normal color and function."
Cashew,Red Rust,Spray Bordeaux mixture or Copper Oxychloride if infection is severe. Ensure full coverage of affected leaves. One proper spray is usually enough. This treatment controls the algae and helps leaves recover. Regular monitoring helps avoid repeated infection.
Cashew,Powdery Mildew,Dust fine Sulphur powder or spray Wettable Sulphur early in the morning when white powder appears on flowers or leaves. One timely spray protects flowers from drying and falling. Early treatment during cool weather helps ensure better nut setting and yield.
Cashew,Cashew Apple & Nut Borer,"Collect and destroy all damaged apples and nuts immediately. Spray Spinosad or Profenophos once when fruits are small, about pea size. Proper timing of spray kills young worms before they enter fruits. This treatment helps reduce fruit damage and yield loss."
Cashew,Thrips,"If thrips attack is heavy during flowering, spray Thiamethoxam or Fipronil once. Spray should be light and well-directed on tender parts. Avoid unnecessary repeat sprays. Correct timing helps protect flowers and improves nut formation."
Cashew,Pestalotia Leaf Spot,Spray Mancozeb (2 g per litre of water) or Copper Oxychloride on affected plants. One or two sprays at 10–15 day intervals are enough. This treatment is mainly needed for young plants and nursery seedlings to prevent leaf damage.
Cashew,Shoot Rot & Leaf Fall,Spray Bordeaux mixture (1%) just before the start of heavy monsoon rains. One preventive spray protects tender shoots from rotting and reduces leaf fall. Proper timing of this spray is very important to protect the crop during continuous rainy periods.
Cotton,Pink Bollworm,"Put pheromone traps (5 per acre) to catch adult moths early. Check flowers often and remove rosette flowers and destroy them. If worms increase, spray Profenophos or Emamectin Benzoate as advised. Do not delay spraying once worms enter bolls. After harvest, allow sheep grazing or deep ploughing to kill worms left in the soil."
Cotton,American Bollworm,"Grow marigold or cowpea around the field to attract worms away from cotton. Fix bird perches so birds eat caterpillars. If worms increase, spray Spinosad or Indoxacarb. Do not use the same pesticide repeatedly. Timely spraying saves flowers and bolls from damage."
Cotton,Bacterial Blight (Black Arm),"Treat seeds with Streptocycline before sowing. If disease appears, spray Copper Oxychloride (3 g per litre) mixed with Streptocycline (1 g per 10 litres). Spray again after rain if needed. Avoid sprinkler irrigation. After harvest, collect and destroy old cotton plants to stop disease spread."
Cotton,Cotton Leaf Curl Virus,"There is no medicine to cure this virus. Control whitefly, which spreads it. Use yellow sticky traps and spray Neem oil or Diafenthiuron when whiteflies increase. Always grow virus-resistant cotton varieties. Remove infected plants early to protect healthy ones nearby."
