Crop Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ಟೊಮೆಟೊ,ಸಸಿಕೊಳೆ ರೋಗ (Damping Off),ಪೈಥಿಯಂ ಅಫಾನಿಡರ್ಮೇಟಮ್ / ರೈಜೋಕ್ಟೋನಿಯಾ ಸೊಲಾನಿ,ನರ್ಸರಿಯಲ್ಲಿ ಎಳೆಯ ಸಸಿಗಳು ಸಾಯುತ್ತವೆ. ಬಿತ್ತನೆಗೆ ಮುನ್ನ 1 ಕೆಜಿ ಬೀಜಕ್ಕೆ 4 ಗ್ರಾಂ ಟ್ರೈಕೋಡರ್ಮ ವಿರಿಡೆ ಬೆರೆಸಿ. ನೀರು ನಿಲ್ಲದಂತೆ ನೋಡಿಕೊಳ್ಳಿ. ಕೊಳೆತಂತೆ ಕಂಡರೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಬೆರೆಸಿ ಮಣ್ಣು ನೆನೆಯುವಂತೆ ಸುರಿಯಿರಿ.
ಟೊಮೆಟೊ,ಶೀಘ್ರ ಎಲೆ ಮಚ್ಚೆ ರೋಗ (Early Blight),ಆಲ್ಟರ್ನೇರಿಯಾ ಸೊಲಾನಿ,ಹಳೆಯ ಎಲೆಗಳ ಮೇಲೆ ಕಂದು ಬಣ್ಣದ ಉಂಗುರದ ಮಚ್ಚೆಗಳಿರುತ್ತವೆ. ಮುಂಜಾನೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಪೀಡಿತ ಎಲೆಗಳನ್ನು ಕಿತ್ತು ಸುಟ್ಟು ಹಾಕಿ. ಬೆಳೆ ಪರಿವರ್ತನೆ ಮಾಡಿ.
ಟೊಮೆಟೊ,ತಡವಾಗಿ ಬರುವ ಎಲೆ ಮಚ್ಚೆ ರೋಗ (Late Blight),ಫೈಟೊಪ್ಥೋರಾ ಇನ್ಫೆಸ್ಟಾನ್ಸ್,ಮೋಡ ಕವಿದ ವಾತಾವರಣದಲ್ಲಿ ವೇಗವಾಗಿ ಹರಡುತ್ತದೆ. ಮೆಟಾಲಾಕ್ಸಿಲ್ + ಮ್ಯಾಂಕೋಜೆಬ್ (2 ಗ್ರಾಂ/ಲೀ) ಸಿಂಪಡಿಸಿ. ಹನಿ ನೀರಾವರಿ ಬಳಸಿ. ಮಳೆಯಾದ ನಂತರ ಮತ್ತೆ ಸಿಂಪಡಿಸಿ.
ಟೊಮೆಟೊ,ಸೊರಗು ರೋಗ (Fusarium Wilt),ಫ್ಯುಸೇರಿಯಂ ಆಕ್ಸಿಸ್ಪೋರಮ್,ಗಿಡ ಒಂದು ಬದಿಯಿಂದ ಹಳದಿಯಾಗಿ ಒಣಗುತ್ತದೆ. ನಾಟಿ ಮುನ್ನ ಮಣ್ಣಿಗೆ ಟ್ರೈಕೋಡರ್ಮ ಮತ್ತು ಕೊಟ್ಟಿಗೆ ಗೊಬ್ಬರ ಬೆರೆಸಿ. ಬುಡಕ್ಕೆ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ (3 ಗ್ರಾಂ/ಲೀ) ಸುರಿಯಿರಿ.
ಟೊಮೆಟೊ,ಸೆಪ್ಟೋರಿಯಾ ಎಲೆ ಚುಕ್ಕೆ,ಸೆಪ್ಟೋರಿಯಾ ಲೈಕೊಪರ್ಸಿಸಿ,ಎಲೆಗಳ ಮೇಲೆ ಬೂದು ಬಣ್ಣದ ಸಣ್ಣ ಚುಕ್ಕೆಗಳಿರುತ್ತವೆ. ಪೀಡಿತ ಎಲೆಗಳನ್ನು ಕಿತ್ತುಹಾಕಿ. 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಅಥವಾ 2.5 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ.
ಟೊಮೆಟೊ,ಹಣ್ಣು ಕೊಳೆ ರೋಗ (Anthracnose),ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಪ್ರಭೇದ,ಹಣ್ಣು ನೆಲಕ್ಕೆ ತಾಗಿದಾಗ ಹಣ್ಣಿನ ಮೇಲೆ ತಗ್ಗು ಮಚ್ಚೆ ಕಾಣುತ್ತದೆ. ಹಣ್ಣಾದ ತಕ್ಷಣ ಕೊಯ್ಲು ಮಾಡಿ. ನೆಲಕ್ಕೆ ಪ್ಲಾಸ್ಟಿಕ್ ಅಥವಾ ಕಸದ ಹೊದಿಕೆ (Mulching) ಬಳಸಿ.
ಟೊಮೆಟೊ,ಬೂದಿ ರೋಗ (Powdery Mildew),ಲೆವೆಲ್ಲುಲಾ ಟೌರಿಕಾ / ಓಡಿಯಂ ನಿಯೋಲೈಕೊಪರ್ಸಿಸಿ,ಎಲೆಗಳ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಕಾಣುತ್ತದೆ. 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಗಂಧಕ (Sulfur) ಸಿಂಪಡಿಸಿ. ಮನೆ ಮದ್ದಾಗಿ ಹಾಲು ಮತ್ತು ನೀರಿನ ಮಿಶ್ರಣ (1:9) ಬಳಸಬಹುದು.
ಟೊಮೆಟೊ,ಬಕ್ ಐ ರೋಗ (Buckeye Rot),ಫೈಟೊಪ್ಥೋರಾ ನಿಕೋಟಿಯಾನೇ,ಹಣ್ಣಿನ ಮೇಲೆ ಕಂದು ಉಂಗುರಗಳು ಕಾಣುತ್ತವೆ. ಗಿಡಕ್ಕೆ ಆಸರೆ (Staking) ನೀಡಿ ಹಣ್ಣು ನೆಲಕ್ಕೆ ತಗದಂತೆ ನೋಡಿ. ಅತಿಯಾದ ನೀರು ಹಾಯಿಸಬೇಡಿ.
ಟೊಮೆಟೊ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಸೊರಗು ರೋಗ,ರಾಲ್ಸ್ಟೋನಿಯಾ ಸೊಲಾನೇಸಿಯಾರಮ್,ಗಿಡವು ಹಸಿರಾಗಿರುವಾಗಲೇ ಇದ್ದಕ್ಕಿದ್ದಂತೆ ಬಾಡಿ ಸಾಯುತ್ತದೆ. ಇದಕ್ಕೆ ಔಷಧಿ ಇಲ್ಲ. ಅರ್ಕಾ ಆಭಾ ತಳಿ ಬೆಳೆಯಿರಿ. ನಾಟಿ ಮುನ್ನ ಬೇರನ್ನು ಸ್ಯೂಡೋಮೊನಾಸ್‌ನಲ್ಲಿ ಅದ್ದಿ.
ಟೊಮೆಟೊ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಎಲೆ ಚುಕ್ಕೆ,ಜಾಂಥೋಮೋನಾಸ್ ಕ್ಯಾಂಪೆಸ್ಟ್ರಿಸ್,ಎಲೆ ಮೇಲೆ ಜಿಡ್ಡು ಮಚ್ಚೆಗಳು ಕಾಣುತ್ತವೆ. ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ (1 ಗ್ರಾಂ 10 ಲೀ ನೀರಿಗೆ) ಮತ್ತು ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಗಿಡ ಒದ್ದೆಯಾಗಿದ್ದಾಗ ಕೆಲಸ ಮಾಡಬೇಡಿ.
