Fruit Common Name ,Disease Name (Type),Treatment Methods
Almond,Hull Rot,"This is a very common problem where the outer shell (hull) rots after it splits, often causing the nearby leaves and twigs to die. It is caused by too much nitrogen or water. To stop this, reduce irrigation and Nitrogen fertilizer slightly when the hulls start splitting (harvest time). Spray Iprodione or Boscalid fungicides at the early hull-split stage. Harvest early to prevent the fungus from producing poisons that kill the branches."
Almond,Brown Rot,"This fungus attacks the flowers and young nuts, turning them soft and brown. The infected nuts often stick to the branch and dry up (mummies). You must remove and destroy these ""mummy"" nuts during winter cleaning. Spray Captan @ 2 grams per liter or Tebuconazole @ 1 ml per liter when the flower buds turn pink and again at full bloom. If it rains during flowering, an extra spray is necessary."
Almond,Anthracnose,"Orange or rust-colored sunken spots appear on the young nuts. During wet weather, the nuts produce a lot of gum and may fall off. Prune out dead branches and remove infected nuts. Spray Azoxystrobin or Propiconazole @ 1 ml per liter during the pink bud stage and repeat every 10-14 days if rains continue during spring. This disease can kill the nut completely if not treated early."
Almond,Almond Scab,"Grey to black, oily-looking spots appear on the hulls (outer shells). If the infection is severe, the hull does not open properly, and the kernel inside remains small. Spray Captan @ 2 grams per liter or Ziram @ 2 grams per liter starting two weeks after the petals fall. Repeat the spray every 2 weeks until the shell hardens. Prune the tree to allow air to dry the nuts quickly after rain."
Almond,Bacterial Spot (Shot Hole),"Small, water-soaked spots appear on the hull, which later produce amber-colored gum. This can damage the kernel inside causing it to look gummy or dark. Spray Copper Oxychloride @ 3 grams per liter or Bordeaux mixture (1%) during the dormant season (winter). Once leaves appear, use Ziram or Mancozeb instead of Copper to avoid burning the leaves."
Almond,Navel Orangeworm Damage,"This is the worst pest for almonds. The worm enters the nut after the hull splits and eats the kernel, leaving behind web and black waste. The most important step is ""Winter Sanitation"": knock down all old nuts (mummies) remaining on trees in winter and destroy them, as the worms hide there. Harvest as soon as 100% of hulls have split. Spray Spinosad or Methoxyfenozide at hull split if necessary."
Almond,Gummosis (Leaffooted Bug),"You will see clear, jelly-like gum oozing from the nuts. When you cut the nut, the kernel inside has a dark spot or is dead. This is caused by bugs piercing the nut, not a fungus. Monitor the orchard for Leaffooted Bugs or Stink Bugs. Spray Permethrin or Bifenthrin if you see many bugs in the spring. Removing weeds around the orchard prevents these bugs from breeding near the trees."
Almond,Kernel Mold,"The kernel inside the shell develops a grey or black mold, making it bitter and unsafe to eat. This usually happens if rain gets inside the split hull during harvest. Harvest the nuts as soon as they are ready; do not leave them on the tree after the hulls open. If rain is forecast during harvest, try to pick the nuts early. Dry the harvested nuts immediately to stop mold growth."
Amla,Amla Rust (Ring Rust),"Black, circular blisters or rings appear on the fruit skin, which spoils the look and quality of the fruit. To control this, spray Wettable Sulphur @ 3 grams per liter or Mancozeb @ 2 grams per liter during the early fruiting stage. If the infection is severe, repeat the spray after 15 days. Always buy disease-free seedlings to prevent this from entering your orchard."
Amla,Internal Necrosis (Browning),"The fruit looks healthy from the outside, but when you cut it, the flesh inside is brown or black. This is not a fungus but caused by a lack of the nutrient Boron. To fix this, spray Borax @ 6 grams per liter of water. You should do this three times: once when flowers appear, again when fruits are pea-sized, and finally when fruits are half-grown."
Amla,Soft Rot (Blue Mold),"This usually happens after harvest or if fruits get injured on the tree. The infected part turns soft, brown, and watery, sometimes with a blue-green mold. Handle fruits very gently during harvest to avoid cuts and bruises. Dip the harvested fruits in a weak salt solution (sodium chloride) or Borax solution (borax @ 1 gram per liter) to clean them and protect against rotting during storage."
Amla,Fruit Borer,"A small caterpillar bores a hole into the fruit and eats the seed, causing the fruit to rot and fall. Collect and destroy all fallen, infested fruits to break the cycle. Spray Carbaryl @ 2 grams per liter or Quinalphos @ 2 ml per liter when fruits are starting to develop. You can also hang light traps to catch the moths that lay the eggs."
Amla,Anthracnose (Fruit Spot),"Brown, sunken spots appear on the fruit surface, which may join together to form large rotten patches. This is common in humid weather. Prune the tree to allow sunlight to reach the fruits. Spray Carbendazim @ 1 gram per liter or Copper Oxychloride @ 3 grams per liter during the fruit setting stage. Keep the ground clean of fallen leaves."
Amla,Dry Rot (Phoma Rot),The fruit develops dark brown to black spots that become hard and dry. The skin may wrinkle. This often happens if the tree is weak. Ensure the tree gets enough water and fertilizer. Spray Mancozeb @ 2 grams per liter or Chlorothalonil @ 2 grams per liter if you see spots appearing on young fruits.
Apricot,Brown Rot,"This is the most common disease where the fruit turns soft, brown, and gets covered in dusty grey fungal powder. The fruit rots completely and may dry up (mummify) on the branch. To stop this, you must pick and burn all the dried ""mummy"" fruits hanging on the tree during winter. Spray Captan @ 2 grams per liter or Tebuconazole @ 1 ml per liter when the flowers open and again 2 weeks before harvesting to protect the fruit from rotting."
Apricot,Coryneum Blight (Shot Hole),"Small, purple-red spots appear on the fruit skin, which later turn into rough, scabby bumps. The fruit looks spotted and ugly. This fungus lives in infected buds and twigs. Prune out dead wood and infected branches during winter. Spray Copper Oxychloride @ 3 grams per liter or Bordeaux Mixture (1%) just before the buds swell in spring and again after the petals fall to protect the young fruit."
Apricot,Apricot Scab (Freckles),"Small, round, olive-green to black velvet spots appear on the fruit skin. These spots usually stay on the surface but make the fruit look dirty and reduce its price. It happens in damp, shady conditions. Prune the tree to let more sunlight reach the center. Spray Wettable Sulphur @ 2 grams per liter or Captan @ 2 grams per liter when the shucks (flower covers) fall off the young fruit. Repeat the spray after 15 days."
Apricot,Bacterial Spot,"Dark, sunken spots appear on the fruit, often causing deep cracks and pits. Sticky gum may ooze out of these spots. This is harder to control than fungal diseases. Plant resistant varieties if possible. Spray Copper Oxychloride @ 3 grams per liter during the dormant season (winter). Be careful using Copper after leaves appear as it can burn them; use agricultural antibiotics like Streptocycline only if recommended by local experts."
