Fruit Common Name ,Disease Name (Type),Treatment Methods,Scientific name
ಬಾದಾಮಿ,ಹಲ್ ಕೊಳೆ ರೋಗ (Hull Rot),ಹಲ್ ಒಡೆಯಲು ಪ್ರಾರಂಭವಾದಾಗ ನೀರಾವರಿ ಮತ್ತು ನೈಟ್ರೋಜನ್ ಗೊಬ್ಬರವನ್ನು ಸ್ವಲ್ಪ ಕಡಿಮೆ ಮಾಡಬೇಕು. ಪ್ರಾರಂಭಿಕ ಹಲ್-ಸ್ಪ್ಲಿಟ್ ಹಂತದಲ್ಲಿ ಇಪ್ರೊಡಯೋನ್ ಅಥವಾ ಬೋಸ್ಕಾಲಿಡ್ ಶಿಲೀಂಧ್ರನಾಶಕ ಸಿಂಪಡಿಸಬೇಕು. ಶಾಖೆಗಳು ಸಾಯುವುದನ್ನು ತಪ್ಪಿಸಲು ಬೇಗನೇ ಕೊಯ್ಲು ಮಾಡಬೇಕು.,ರೈಜೋಪಸ್ ಸ್ಟೋಲೋನಿಫರ್ / ಮೊನಿಲಿನಿ ಪ್ರಭೇದ
ಬಾದಾಮಿ,ಕಂದು ಕೊಳೆ ರೋಗ (Brown Rot),ಚಳಿಗಾಲದಲ್ಲಿ ಮರದಲ್ಲಿ ಉಳಿದಿರುವ ಒಣಗಿದ (ಮಮ್ಮಿ) ಬೀಜಗಳನ್ನು ತೆಗೆದು ನಾಶಪಡಿಸಬೇಕು. ಹೂ ಮೊಗ್ಗು ಗುಲಾಬಿ ಬಣ್ಣದ ಹಂತದಲ್ಲಿ ಮತ್ತು ಪೂರ್ಣ ಹೂ ಹಂತದಲ್ಲಿ ಕ್ಯಾಪ್ಟಾನ್ @ 2 ಗ್ರಾಂ/ಲೀಟರ್ ಅಥವಾ ಟೆಬುಕೊನಜೋಲ್ @ 1 ಮಿ.ಲೀ/ಲೀಟರ್ ಸಿಂಪಡಿಸಬೇಕು. ಮಳೆಯಿದ್ದರೆ ಹೆಚ್ಚುವರಿ ಸಿಂಪಡಣೆ ಅಗತ್ಯ.,ಮೊನಿಲಿನಿ ಫ್ರಕ್ಟಿಕೋಲಾ
ಬಾದಾಮಿ,ಆಂಥ್ರಾಕ್ನೋಸ್ ರೋಗ,ಸತ್ತ ಕೊಂಬೆಗಳನ್ನು ಕತ್ತರಿಸಿ ಸೋಂಕಿತ ಬೀಜಗಳನ್ನು ತೆಗೆದುಹಾಕಬೇಕು. ಪಿಂಕ್ ಬಡ್ ಹಂತದಲ್ಲಿ ಅಜೋಕ್ಸಿಸ್ಟ್ರೋಬಿನ್ ಅಥವಾ ಪ್ರೊಪಿಕೊನಜೋಲ್ @ 1 ಮಿ.ಲೀ/ಲೀಟರ್ ಸಿಂಪಡಿಸಬೇಕು. ಮಳೆ ಮುಂದುವರೆದರೆ 10–14 ದಿನಗಳಿಗೊಮ್ಮೆ ಮರುಸಿಂಪಡಣೆ ಮಾಡಬೇಕು.,ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಅಕ್ಯುಟಾಟಮ್
ಬಾದಾಮಿ,ಬಾದಾಮಿ ಸ್ಕ್ಯಾಬ್ ರೋಗ,ಹೂ ದಳಗಳು ಬೀಳಿದ 2 ವಾರಗಳ ನಂತರ ಕ್ಯಾಪ್ಟಾನ್ @ 2 ಗ್ರಾಂ/ಲೀಟರ್ ಅಥವಾ ಜಿರಾಮ್ @ 2 ಗ್ರಾಂ/ಲೀಟರ್ ಸಿಂಪಡಿಸಬೇಕು. ಶೆಲ್ ಗಟ್ಟಿ ಆಗುವವರೆಗೂ ಪ್ರತಿ 2 ವಾರಗಳಿಗೊಮ್ಮೆ ಸಿಂಪಡಣೆ ಮಾಡಬೇಕು. ಗಾಳಿಚಲನೆಗಾಗಿ ಮರವನ್ನು ಕಡಿತ ಮಾಡಬೇಕು.,ಕ್ಲಾಡೋಸ್ಪೊರಿಯಮ್ ಕಾರ್ಪೊಫಿಲಮ್
ಬಾದಾಮಿ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಕಲೆ ರೋಗ (ಶಾಟ್ ಹೋಲ್),ಚಳಿಗಾಲದಲ್ಲಿ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ @ 3 ಗ್ರಾಂ/ಲೀಟರ್ ಅಥವಾ ಬೋರ್ಡೋ ಮಿಶ್ರಣ (1%) ಸಿಂಪಡಿಸಬೇಕು. ಎಲೆಗಳು ಬಂದ ನಂತರ ಕಾಪರ್ ಬದಲು ಜಿರಾಮ್ ಅಥವಾ ಮ್ಯಾಂಕೋಜೆಬ್ ಬಳಸಬೇಕು.,ಝಾಂಥೋಮೋನಾಸ್ ಅರ್ಬೊರಿಕೋಲಾ pv. ಪ್ರೂನಿ
ಬಾದಾಮಿ,ನೇವಲ್ ಆರೇಂಜ್ ಹುಳು ಹಾನಿ,ಚಳಿಗಾಲದಲ್ಲಿ ಮರದಲ್ಲಿ ಉಳಿದ ಎಲ್ಲಾ ಹಳೆಯ (ಮಮ್ಮಿ) ಬೀಜಗಳನ್ನು ಕೆಳಗೆ ಬೀಳಿಸಿ ನಾಶಪಡಿಸಬೇಕು. ಹಲ್‌ಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಒಡೆದ ಕೂಡಲೇ ಕೊಯ್ಲು ಮಾಡಬೇಕು. ಅಗತ್ಯವಿದ್ದರೆ ಹಲ್-ಸ್ಪ್ಲಿಟ್ ಹಂತದಲ್ಲಿ ಸ್ಪೈನೊಸಾಡ್ ಅಥವಾ ಮೆಥಾಕ್ಸಿಫೆನೋಜೈಡ್ ಸಿಂಪಡಿಸಬಹುದು.,ಅಮಿಲಾಯಿಸ್ ಟ್ರಾನ್ಸಿಟೆಲ್ಲಾ
ಬಾದಾಮಿ,ಗಮ್ಮೋಸಿಸ್ (ಲೀಫ್‌ಫೂಟೆಡ್ ಕೀಟ ಹಾನಿ),ತೋಟದಲ್ಲಿ ಲೀಫ್‌ಫೂಟೆಡ್ ಕೀಟ ಅಥವಾ ಸ್ಟಿಂಕ್ ಕೀಟಗಳಿಗಾಗಿ ಗಮನವಿಡಬೇಕು. ಕೀಟಗಳು ಹೆಚ್ಚಿದ್ದರೆ ಪರ್ಮೆತ್ರಿನ್ ಅಥವಾ ಬಿಫೆಂತ್ರಿನ್ ಸಿಂಪಡಿಸಬೇಕು. ತೋಟದ ಸುತ್ತಲಿನ ಕಳೆಗಳನ್ನು ತೆಗೆದುಹಾಕಬೇಕು.,ಲೆಪ್ಟೋಗ್ಲೋಸಸ್ ಝೊನಾಟಸ್
ಬಾದಾಮಿ,ಕರ್ಣೆಲ್ ಶಿಲೀಂಧ್ರ ಕೊಳೆ (Kernel Mold),"ಬೀಜಗಳು ಸಿದ್ಧವಾದ ತಕ್ಷಣವೇ ಕೊಯ್ಲು ಮಾಡಬೇಕು. ಹಲ್ ತೆರೆದ ನಂತರ ಮರದಲ್ಲಿ ಬಿಡಬಾರದು. ಕೊಯ್ಲಿನ ಸಮಯದಲ್ಲಿ ಮಳೆ ನಿರೀಕ್ಷೆಯಿದ್ದರೆ ಬೇಗ ಕೊಯ್ಲು ಮಾಡಿ, ಬೀಜಗಳನ್ನು ತಕ್ಷಣ ಒಣಗಿಸಬೇಕು.",ಆಸ್ಪರ್ಜಿಲಸ್ ನೈಜರ್ / ಆಲ್ಟರ್ನೇರಿಯಾ ಪ್ರಭೇದ
ನೆಲ್ಲಿಕಾಯಿ,ಬೀಜದ ಬೂಷ್ಟು  (ಶಿಲೀಂಧ್ರ),ಹಣ್ಣಿನ ಮೇಲೆ ಕಪ್ಪು ವರ್ತುಲಗಳು ಅಥವಾ ಬೊಕ್ಕೆಗಳು ಕಾಣುತ್ತವೆ. ಕಾಯಿ ಕಚ್ಚುವ ಆರಂಭಿಕ ಹಂತದಲ್ಲಿ 1 ಲೀಟರ್ ನೀರಿಗೆ 3 ಗ್ರಾಂ ಕರಗುವ ಗಂಧಕ ಅಥವಾ 2 ಗ್ರಾಂ ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ರೋಗಮುಕ್ತ ಸಸಿಗಳನ್ನೇ ನೆಡಲು ಬಳಸಿ.,ಪೆನಿಸಿಲಿಯಮ್ ಪ್ರಭೇದ / ಆಸ್ಪರ್ಜಿಲಸ್ ಪ್ರಭೇದ
ನೆಲ್ಲಿಕಾಯಿ,ತುಕ್ಕು ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),"ಇದು ಶಿಲೀಂಧ್ರ ರೋಗವಲ್ಲ, ಬೋರಾನ್ ಪೋಷಕಾಂಶದ ಕೊರತೆಯಿಂದ ಬರುತ್ತದೆ. ಹಣ್ಣು ಹೊರಗಿನಿಂದ ಚೆನ್ನಾಗಿ ಕಂಡರೂ, ಕತ್ತರಿಸಿದಾಗ ಒಳಗಿನ ತಿರುಳು ಕಂದು ಅಥವಾ ಕಪ್ಪು ಬಣ್ಣಕ್ಕೆ ತಿರುಗಿರುತ್ತದೆ. ಇದನ್ನು ಸರಿಪಡಿಸಲು 1 ಲೀಟರ್ ನೀರಿಗೆ 6 ಗ್ರಾಂ ಬೊರಾಕ್ಸ್ ಬೆರೆಸಿ ಸಿಂಪಡಿಸಿ. ಇದನ್ನು ಹೂವು ಬಿಡುವಾಗ, ಕಾಯಿ ಬಟಾಣಿ ಗಾತ್ರದಲ್ಲಿದ್ದಾಗ ಮತ್ತು ಕಾಯಿ ಅರ್ಧ ಬೆಳೆದಾಗ ಹೀಗೆ ಮೂರು ಬಾರಿ ಸಿಂಪಡಿಸಬೇಕು.",ಟ್ರಾನ್ಸ್‌ಶೆಲಿಯಾ ಡಿಸ್ಕಲರ್
