Vegetable Common Name ,Disease Name (Type),Treatment Methods
Agathi,Rust (Fungal),Brown or reddish pustules appear on the undersides of leaves. Treatment: Agathi leaves are often eaten as greens or fodder. Avoid systemic fungicides. Prune the infected branches. Spray diluted Sulphur or Neem oil. Ensure the tree gets full sun.
Agathi,Leaf Eating Caterpillar (Insect),"Green caterpillars eat the leaves and tunnel into the flower buds, ruining the edible flowers. Treatment: Since the flowers are eaten directly, avoid harsh chemicals. Handpick the caterpillars. Shake the tree gently to drop them. Spray a diluted Neem oil solution (2ml per liter) if the infestation is severe."
Agathi,Stem Borer (Insect Larvae),"Larvae bore into the stem, causing wilting. Treatment: Inject neem oil into the bore hole and seal with clay."
Agathi,Leaf/Flower Webber (Insect Larvae),"Caterpillars spin webs around the leaves and flowers (the edible part) and eat them from inside. Treatment: Since flowers are delicate, handpick the caterpillars or shake the tree gently to dislodge them. Spray a dilute neem oil solution. Encourage birds in the garden."
Agathi,Powdery Mildew (Fungal Infection),"A white powdery coating appears on the leaves and pods, causing them to dry up and drop early. This is common in dry, cool weather. Prune the tree to improve sunlight penetration. Spray wettable sulfur (2g/liter) or a biological control like Ampelomyces quisqualis. If harvesting for food, a baking soda spray (1 tsp + 1 liter water) is a safe, non-toxic alternative."
Agathi,Leaf Spot (Fungal Infection),"Brown or black circular spots appear on the edible leaves, rendering them unappealing. Remove heavily infected leaves to stop the spread. Improve air circulation by thinning branches. If severe, spray a copper-based fungicide, but observe a strict waiting period (7-10 days) before harvesting leaves for consumption. Avoid overhead watering in the evening."
Agathi,Pod Borer (Insect Infestation),Larvae bore into the long pods and eat the developing seeds. Look for small holes and frass. Manually remove infested pods. Install light traps to catch adult moths. Spray Neem oil or Bacillus thuringiensis (Bt) during the flowering and pod-formation stage. Regular harvesting of mature pods prevents the population from building up.
Agathi,Stem Borer (Insect Infestation),"Though primarily in the stem, severe infestation cuts off nutrients, causing the edible leaves and flowers to wilt and yellow. Look for sawdust at the base. Inject a Neem oil solution into the bore holes and seal with clay. Maintain tree vigor with organic compost; healthy trees resist borers better."
Agathi,Mosaic Virus (Viral Infection),Leaves show mottled yellow and green patterns and may become deformed. There is no cure. Remove and burn the infected branches or the whole tree if young. Control aphids and whiteflies which spread the virus using sticky traps or insecticidal soap.
Agathi ,Leaf Webber (Insect Infestation),"The larvae weave the tender leaves and flower buds together with silk and feed from inside. Since Agathi leaves are often eaten raw or lightly cooked, avoid harsh chemicals. Handpick the webbed clusters and destroy them. Spray an aqueous extract of Neem kernel or a simple soap solution. Encourage birds in the garden as they naturally predate on these caterpillars."
Air Potato,Leaf Spot / Rust (Fungal),"Small brown spots or rusty pustules appear on the leaves. Treatment: This vine is very hardy and semi-wild. Usually requires no treatment, but if severe, remove the infected leaves to keep the vine healthy. Ensure it has a strong tree or trellis to climb into the sunlight."
