Vegetable Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ಅಗಸೆ,ತುಕ್ಕು ರೋಗ / ರಸ್ಟ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಟ್ರಾನ್‌ಸ್ಚೆಲಿಯಾ ಡಿಸ್ಕಲರ್ (Tranzschelia discolor),ಎಲೆಯ ಅಡಿಯಲ್ಲಿ ಕೆಂಪು ಬಣ್ಣದ ಬೊಕ್ಕೆಗಳು ಬರುತ್ತವೆ. ಅಗಸೆ ಸೊಪ್ಪು ತಿನ್ನುವುದರಿಂದ ರಾಸಾಯನಿಕ ಬೇಡ. ರೋಗ ಬಂದ ಕೊಂಬೆಗಳನ್ನು ಕತ್ತರಿಸಿ. ನೀರು ಬೆರೆಸಿದ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. ಗಿಡಕ್ಕೆ ಪೂರ್ಣ ಬಿಸಿಲು ಬೀಳುವಂತೆ ನೋಡಿಕೊಳ್ಳಿ.
ಅಗಸೆ,ಎಲೆ ತಿನ್ನುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಲೈಮಾಂಟ್ರಿಯಾ ಒಬ್ಫಸ್ಕೇಟಾ (Lymantria obfuscata),ಹಸಿರು ಹುಳು ಎಲೆ ಮತ್ತು ಹೂವಿನ ಮೊಗ್ಗುಗಳನ್ನು ತಿನ್ನುತ್ತದೆ. ಕೈಯಿಂದ ಹುಳುಗಳನ್ನು ಆರಿಸಿ. ಗಿಡವನ್ನು ಮೆಲ್ಲನೆ ಕುಲುಕಿದರೆ ಹುಳುಗಳು ಕೆಳಗೆ ಬೀಳುತ್ತವೆ. ಬಾಧೆ ಹೆಚ್ಚಿದ್ದರೆ 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಮಿ.ಲೀ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಅಗಸೆ,ಕಾಂಡ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಸ್ಫೆನೋಪ್ಟೆರಾ ಇಂಡಿಕಾ (Sphenoptera indica),"ಹುಳು ಕಾಂಡದೊಳಗೆ ರಂಧ್ರ ಮಾಡಿ ಗಿಡ ಬಾಡುವಂತೆ ಮಾಡುತ್ತದೆ. ರಂಧ್ರದೊಳಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಬಿಟ್ಟು ಜೇಡಿ ಮಣ್ಣಿನಿಂದ ಮುಚ್ಚಿ. ಗಿಡಕ್ಕೆ ಒಳ್ಳೆಯ ಗೊಬ್ಬರ ಕೊಡಿ, ಸದೃಢ ಗಿಡಕ್ಕೆ ಹುಳು ಬರುವುದು ಕಡಿಮೆ."
ಅಗಸೆ,ಎಲೆ/ಹೂವು ಸುತ್ತುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಅಕ್ರೊಸೆರ್ಕೋಪ್ಸ್ ಸಿಂಜರಾ (Acrocercops syngramma),"ಹುಳುಗಳು ಎಲೆ ಮತ್ತು ಹೂವನ್ನು ಬಲೆ ಹಾಕಿ ಒಳಗೆ ಸೇರಿ ತಿನ್ನುತ್ತವೆ. ಹೂವು ತಿನ್ನುವುದರಿಂದ ಕೈಯಿಂದಲೇ ಹುಳು ತೆಗೆಯಿರಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. ತೋಟದಲ್ಲಿ ಪಕ್ಷಿಗಳಿಗೆ ಆಶ್ರಯ ನೀಡಿ, ಅವು ಹುಳುಗಳನ್ನು ತಿನ್ನುತ್ತವೆ."
ಅಗಸೆ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe species),ಎಲೆ ಮತ್ತು ಕಾಯಿಗಳ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬಂದು ಒಣಗುತ್ತವೆ. ಒಣ ಹವೆ ಮತ್ತು ಚಳಿಯಲ್ಲಿ ಇದು ಹೆಚ್ಚು. ಬಿಸಿಲು ಬೀಳಲು ಗಿಡ ಕತ್ತರಿಸಿ (ಪ್ರೂನಿಂಗ್). 1 ಲೀಟರ್ ನೀರಿಗೆ 2 ಗ್ರಾಂ ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ. ಅಡುಗೆಗೆ ಬಳಸುವುದಾದರೆ ಅಡುಗೆ ಸೋಡಾ ದ್ರಾವಣ (1 ಲೀಟರ್ ನೀರಿಗೆ 1 ಚಮಚ) ಸಿಂಪಡಿಸುವುದು ಸುರಕ್ಷಿತ.
ಅಗಸೆ,ಎಲೆ ಚುಕ್ಕೆ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೈಲೋಸ್ಟಿಕ್ಟಾ (Phyllosticta),"ಎಲೆಯ ಮೇಲೆ ಕಪ್ಪು ಅಥವಾ ಕಂದು ದುಂಡು ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಹೆಚ್ಚು ರೋಗವಿದ್ದ ಎಲೆ ತೆಗೆಯಿರಿ. ಗಾಳಿ ಆಡಲು ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ರೋಗ ಹೆಚ್ಚಿದ್ದರೆ ಕಾಪರ್ ಯುಕ್ತ ಶಿಲೀಂಧ್ರನಾಶಕ ಸಿಂಪಡಿಸಿ, ಆದರೆ ಸೊಪ್ಪು ಕೊಯ್ಲು ಮಾಡುವ ಮುನ್ನ 7-10 ದಿನ ಕಾಯಿರಿ. ಸಂಜೆ ವೇಳೆ ನೀರು ಹಾಯಿಸಬೇಡಿ."
ಅಗಸೆ,ಕಾಯಿ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಡ್ಯೂಡೋರಿಕ್ಸ್ ಐಸೋಕ್ರೇಟ್ಸ್ (Deudorix isocrates),ಹುಳು ಕಾಯಿಗೆ ರಂಧ್ರ ಮಾಡಿ ಬೀಜ ತಿನ್ನುತ್ತದೆ. ರಂಧ್ರವಿದ್ದ ಕಾಯಿಗಳನ್ನು ಕಿತ್ತು ಹಾಕಿ. ಬೆಳಕಿನ ಬಲೆ ಬಳಸಿ. ಹೂವು ಮತ್ತು ಕಾಯಿ ಬಿಡುವಾಗ ಬೇವಿನ ಎಣ್ಣೆ ಅಥವಾ ಬಿ.ಟಿ (Bt) ದ್ರಾವಣ ಸಿಂಪಡಿಸಿ. ಬಲಿತ ಕಾಯಿಗಳನ್ನು ಆಗಾಗ ಕೊಯ್ಲು ಮಾಡಿ.
ಅಗಸೆ,ಮೊಸೈಕ್ ವೈರಸ್  (ವೈರಸ್ ರೋಗ),ಕುಕುಂಬರ್ ಮೊಸೈಕ್ ವೈರಸ್ (Cucumber mosaic virus),ಎಲೆಗಳ ಮೇಲೆ ಹಳದಿ ಮತ್ತು ಹಸಿರು ಬಣ್ಣದ ಮಚ್ಚೆ ಬಂದು ಎಲೆ ಮುದುರುತ್ತದೆ. ಇದಕ್ಕೆ ಮದ್ದಿಲ್ಲ. ರೋಗ ಬಂದ ಕೊಂಬೆ ಅಥವಾ ಎಳೆ ಗಿಡವನ್ನು ಸುಟ್ಟುಹಾಕಿ. ವೈರಸ್ ಹರಡುವ ಜಿಗಿಹೇನುಗಳನ್ನು ಹಳದಿ ಅಂಟು ಬಲೆ ಬಳಸಿ ನಿಯಂತ್ರಿಸಿ.
ಏರ್ ಪೊಟಾಟೋ,ಎಲೆ ಚುಕ್ಕೆ / ತುಕ್ಕು  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪಕ್ಸಿನಿಯಾ (Puccinia),ಎಲೆಗಳ ಮೇಲೆ ಸಣ್ಣ ಕಂದು ಚುಕ್ಕೆ ಅಥವಾ ತುಕ್ಕು ಬೊಕ್ಕೆ ಬರುತ್ತದೆ. ಇದು ಕಾಡು ತರಕಾರಿಯಾದ್ದರಿಂದ ಚಿಕಿತ್ಸೆ ಬೇಕಿಲ್ಲ. ರೋಗ ಹೆಚ್ಚಿದ್ದರೆ ಎಲೆ ತೆಗೆಯಿರಿ. ಬಳ್ಳಿ ಹಬ್ಬಲು ಆಸರೆ ಕೊಡಿ ಮತ್ತು ಬಿಸಿಲು ಬೀಳುವಂತೆ ನೋಡಿ.
ಏರ್ ಪೊಟಾಟೋ,ಒಣ ಕೊಳೆತ / ಫ್ಯುಸಾರಿಯಂ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫ್ಯುಸಾರಿಯಂ (Fusarium),ಶೇಖರಣೆಯಲ್ಲಿ ಗೆಡ್ಡೆ ಒಣಗಿ ಒಳಗಿನಿಂದ ಕೊಳೆಯುತ್ತದೆ. ಕೊಯ್ಲಿನ ನಂತರ ನೆರಳಿನಲ್ಲಿ ಗಾಳಿಯಾಡುವ ಜಾಗದಲ್ಲಿ ಗೆಡ್ಡೆಗಳನ್ನು ಒಣಗಿಸಿ ಸಿಪ್ಪೆ ಗಟ್ಟಿಯಾಗುವಂತೆ ಮಾಡಿ (ಕ್ಯೂರಿಂಗ್). ಗಾಯವಾಗದಂತೆ ನೋಡಿ. ಗಾಯವಿದ್ದರೆ ಬೂದಿ ಅಥವಾ ಸುಣ್ಣ ಹಚ್ಚಿ. ತೀರಾ ಹಗುರವಾದ ಗೆಡ್ಡೆ ಎಸೆಯಿರಿ.
