uid,created_at,updated_at,deleted_at,category_id,category_type,url,name_en,name_kn,name_hn,name_ta,name_te,name_ml,name_mr,name_gu,name_bn,name_or,name_pa,name_ur,name_ne
master_icons_95ae2e56-81b2-4ae5-b9e1-a522589c011c,2026-01-14 12:20:48.145 +0530,,,crop_001,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/beetroot_crop.jpg,Beetroot,ಬೀಟ್ರೂಟ್,चुकंदर,பீட்ரூட்,బీట్‌రూట్,ബീറ്റ്റൂട്ട്,बीटरुट,બીટનો કંદ,বিটরুট,ବିଟ୍ ରୁଟ୍,ਚੁਕੰਦਰ,چقندر,चुकन्दर
master_icons_4458141e-ece9-41f3-8a27-137248d78cdc,2026-01-14 12:20:48.145 +0530,,,crop_002,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/bitter_gourd_crop.jpg,Bitter_Gourd,ಹಾಗಲಕಾಯಿ,करेला,பாகற்காய்,బిట్టర్_గోర్డ్,കയ്പ്പ_കുരുമുളക്,कडू_भोपळा,કડવો_લોહી,করলা,କଟୁ_ଲାଉ,ਕਰੇਲਾ_ਲੌਕੀ,کریلا,तितो_लौका
master_icons_3abd9778-a8b2-4eb3-8c4e-2cfda2e42aa1,2026-01-14 12:20:48.145 +0530,,,crop_003,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/bottle_gourd_crop.jpg,Bottle_Gourd,ಸೋರೆಕಾಯಿ,लौकी,சுரைக்காய்_பூசணி,సీసా_గోర్డ్,കുപ്പി_കുതിര,बाटली_भोपळा,બોટલ_લોકી,বোতল_লাউ,ବୋତଲ_ଲୌକି,ਬੋਤਲ_ਲੌਕੀ,لوکی,बोतल_लौकी
master_icons_e5c507b2-4094-4f3a-b457-0528142885e4,2026-01-14 12:20:48.145 +0530,,,crop_004,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/brinjal_crop.jpg,Brinjal,ಬದನೆಕಾಯಿ,बैंगन,கத்திரிக்காய்,వంకాయ,വഴുതന,वांगी,રીંગણ,বেগুন,ବାଇଗଣ,ਬੈਂਗਣ,بیگن,बैगुन
master_icons_c1d431dc-8f2a-4b1a-afd4-6c15533b6d38,2026-01-14 12:20:48.145 +0530,,,crop_005,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/cabbage_crop.jpg,Cabbage,ಎಲೆಕೋಸು,पत्ता_गोभी,முட்டைக்கோஸ்,క్యాబేజీ,കാബേജ്,कोबी,કોબી,বাঁধাকপি,ବନ୍ଧାକୋବି,ਪੱਤਾਗੋਭੀ,گوبھی,बन्दा
master_icons_6e8fd7c2-d52c-42f8-b63c-28eef98c1469,2026-01-14 12:20:48.145 +0530,,,crop_006,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/carrot_crop.jpg,Carrot,ಕ್ಯಾರೆಟ್,गाजर,கேரட்,క్యారెట్,കാരറ്റ്,गाजर,ગાજર,গাজর,ଗାଜର,ਗਾਜਰ,گاجر,गाजर
master_icons_896a3fef-09a6-49bd-8664-1d23a4b34f11,2026-01-14 12:20:48.145 +0530,,,crop_007,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/cashew_crop.jpg,Cashew,ಗೋಡಂಬಿ,काजू,முந்திரி,జీడిపప్పు,കശുവണ്ടി,काजू,કાજુ,কাজু,କାଜୁ,ਕਾਜੂ,کاجو,काजू
master_icons_f5e78c42-94fd-433d-a240-e53af3dab9ad,2026-01-14 12:20:48.145 +0530,,,crop_008,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/cauliflower_crop.jpg,Cauliflower,ಹೂಕೋಸು,फूल_गोभी,காலிஃபிளவர்,కాలీఫ్లవర్,കോളിഫ്ലവർ,फुलकोबी,ફૂલકોબી,ফুলকপি,ଫୁଲକୋବି,ਫੁੱਲ ਗੋਭੀ,گوبھی,काउली
master_icons_f9d42468-30f0-49c2-b0c9-d4877da7ef02,2026-01-14 12:20:48.145 +0530,,,crop_009,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/corn_crop.jpg,Corn,ಮೆಕ್ಕೆಜೋಳ,मक्का,சோளம்,మొక్కజొన్న,ചോളം,कॉर्न,મકાઈ,ভুট্টা,ମକା,ਮਕਈ,مکئی,मकै
master_icons_cb672b30-c82e-4022-99c2-8fb2d4dc25a1,2026-01-14 12:20:48.145 +0530,,,crop_010,crop,https://kissansampurna-public.s3.ap-south-1.amazonaws.com/crops/cotton_crop.jpg,Cotton,ಹತ್ತಿ,कपास,பருத்தி,పత్తి,പരുത്തി,कापूस,કપાસ,তুলা,କପା,ਕਪਾਹ,کپاس,कपास
